coaE,dephospho-CoA kinase,949060
yacM,protein YacM,38094935
guaC,GMP reductase,948986
hofC,inner membrane protein HofC,945806
hofB,T2SSE family protein,947481
ppdD,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdD,945817
nadC,quinolinate phosphoribosyltransferase (decarboxylating),948869
ampD,1,6-anhydro-N-acetylmuramoyl-L-alanine amidase,948877
ampE,protein AmpE,946678
aroP,aromatic amino acid:H(+) symporter AroP,946018
pdhR,DNA-binding transcriptional dual regulator PdhR,944827
aceE,pyruvate dehydrogenase E1 component,944834
aceF,pyruvate dehydrogenase E2 subunit,944794
lpd,lipoamide dehydrogenase,944854
yacH,DUF3300 domain-containing protein YacH,944868
acnB,AcnB,944864
yacL,PF06062 family protein YacL,944809
speD,S-adenosylmethionine decarboxylase proenzyme,947719
speE,spermidine synthase,947726
yacC,putative lipoprotein YacC,948472
cueO,multicopper oxidase CueO,947736
gcd,quinoprotein glucose dehydrogenase,944830
hpt,hypoxanthine phosphoribosyltransferase,946624
can,carbonic anhydrase 2,944832
yadG,putative ABC transporter ATP-binding protein YadG,944833
yadH,putative ABC transporter membrane subunit YadH,944836
yadI,putative PTS enzyme IIA component YadI,947397
yadE,putative polysaccharide deacetylase lipoprotein YadE,946536
panD,aspartate 1-decarboxylase proenzyme,945686
rpnC,recombination-promoting nuclease RpnC,944781
panC,pantothenate synthetase,944958
panB,3-methyl-2-oxobutanoate hydroxymethyltransferase,944839
yadC,fimbrial tip-adhesin YadC,944837
yadK,putative fimbrial protein YadK,944835
yadL,putative fimbrial protein YadL,944829
yadM,putative fimbrial protein YadM,944828
htrE,putative fimbrial usher protein HtrE,944819
yadV,putative fimbrial chaperone YadV,944859
yadN,putative fimbrial protein YadN,944841
folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,948792
pcnB,poly(A) polymerase I,947318
gluQ,glutamyl-Q tRNA(Asp) synthetase,944846
dksA,RNA polymerase-binding transcription factor DksA,944850
sfsA,sugar fermentation stimulation protein A,944855
thpR,RNA 2',3'-cyclic phosphodiesterase,944848
hrpB,RNA-dependent NTPase HrpB,944845
mrcB,peptidoglycan glycosyltransferase/peptidoglycan DD-transpeptidase MrcB,944843
mrcB,PBP-1Bgamma,944843
fhuA,ferrichrome outer membrane transporter/phage receptor,944856
fhuC,Fe(3(+)) hydroxamate ABC transporter ATP binding subunit,945250
fhuD,Fe(3(+)) hydroxamate ABC transporter periplasmic binding protein,947510
fhuB,Fe(3(+)) hydroxamate ABC transporter membrane subunit,946890
hemL,glutamate-1-semialdehyde 2,1-aminomutase,946892
yadX,protein YadX,63925623
clcA,chloride:H(+) antiporter ClcA,946715
yadW,protein YadW,38094936
erpA,iron-sulfur cluster insertion protein ErpA,944857
yadS,PF03458 family protein YadS,949062
btuF,vitamin B12 ABC transporter periplasmic binding protein,947574
mtn,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,948542
dgt,dGTP triphosphohydrolase,947177
degP,periplasmic serine endoprotease DegP,947139
cdaR,DNA-binding transcriptional activator CdaR,944860
yaeH,DUF3461 domain-containing protein YaeH,947044
yaeI,phosphodiesterase YaeI,945002
dapD,tetrahydrodipicolinate succinylase,944862
glnD,protein-PII uridylyltransferase/uridylyl-removing enzyme,944863
map,methionine aminopeptidase,947882
rpsB,30S ribosomal subunit protein S2,947874
tsf,protein chain elongation factor EF-Ts,944866
pyrH,UMP kinase,944989
frr,ribosome-recycling factor,946122
dxr,1-deoxy-D-xylulose 5-phosphate reductoisomerase,945019
ispU,ditrans,polycis-undecaprenyl-diphosphate synthase [(2E,6E)-farnesyl-diphosphate specific],944874
cdsA,CDP-diglyceride synthetase,944876
rseP,intramembrane zinc metalloprotease RseP,944871
bamA,outer membrane protein assembly factor BamA,944870
skp,periplasmic chaperone Skp,944861
lpxD,UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase,944882
fabZ,3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,944888
lpxA,acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase,944849
lpxB,lipid A disaccharide synthase,944838
rnhB,RNase HII,944852
dnaE,DNA polymerase III subunit alpha,944877
accA,acetyl-CoA carboxyltransferase subunit alpha,944895
ldcC,lysine decarboxylase 2,944887
yaeR,VOC domain-containing protein YaeR,944875
tilS,tRNA(Ile)-lysidine synthetase,944889
rof,modulator of Rho-dependent transcription termination,944891
yaeP,PF06786 family protein YaeP,1450233
yaeQ,uncharacterized protein YaeQ,946809
arfB,peptidyl-tRNA hydrolase, ribosome rescue factor,946046
nlpE,sensor lipoprotein NlpE,946782
yaeF,peptidase C92 family protein YaeF,944892
proS,proline--tRNA ligase,949116
trmO,tRNA m(6)t(6)A37 methyltransferase,949112
rcsF,sensor lipoprotein RcsF,949113
metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,944893
metI,L-methionine/D-methionine ABC transporter membrane subunit,944894
metN,L-methionine/D-methionine ABC transporter ATP binding subunit,944896
gmhB,D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase,944879
dkgB,methylglyoxal reductase DkgB,944901
yafC,DNA-binding transcriptional regulator YafC,947507
yafD,endonuclease/exonuclease/phosphatase domain-containing protein YafD,946286
yafE,putative S-adenosylmethionine-dependent methyltransferase,946197
mltD,membrane-bound lytic murein transglycosylase D,945694
gloB,hydroxyacylglutathione hydrolase GloB,944902
ykfO,protein YkfO,71004553
yafS,putative S-adenosyl-L-methionine-dependent methyltransferase,944903
rnhA,ribonuclease HI,946955
dnaQ,DNA polymerase III subunit epsilon,946441
yafT,lipoprotein YafT,949009
ykfM,uncharacterized protein YkfM,5061498
yafV,2-oxoglutaramate amidase,946585
ivy,periplasmic chaperone, inhibitor of vertebrate C-type lysozyme,946530
fadE,acyl-CoA dehydrogenase,949007
gmhA,D-sedoheptulose 7-phosphate isomerase,949134
yafJ,putative glutamine amidotransferase YafJ,944906
dpaA,peptidoglycan meso-diaminopimelic acid protein amidase A,944910
yafQ,ribosome-dependent mRNA interferase toxin YafQ,944911
dinJ,antitoxin/DNA-binding transcriptional repressor DinJ,944914
yafL,NlpC/P60 family protein YafL,944899
rayT,REP-associated tyrosine transposase,944913
dinB,DNA polymerase IV,944922
yafN,antitoxin YafN,944920
yafO,ribosome-dependent mRNA interferase toxin YafO,944916
yafP,putative N-acetyltransferase YafP,944912
pepD,peptidase D,945013
gpt,xanthine-guanine phsophoribosyltransferase,944817
frsA,fermentation-respiration switch protein,946039
crl,RNA polymerase holoenzyme assembly factor Crl,945077
insB9,IS1 transposase B,38094937
insA9,IS1 repressor TnpA,38094938
phoE,outer membrane porin PhoE,944926
proB,glutamate 5-kinase,946425
proA,glutamate-5-semialdehyde dehydrogenase,946680
ykfI,toxin of the YkfI-YafW toxin-antitoxin system,946726
yafW,antitoxin of the YkfI-YafW toxin-antitoxin pair,944929
ykfH,DUF987 domain-containing protein YkfH,1450236
ykfG,RadC-like JAB domain-containing protein YkfG,944930
yafX,protein YafX,944931
ykfF,protein YkfF,948839
ykfB,protein YkfB,946846
yafY,inner membrane lipoprotein YafY,944934
yafZ,DUF932 domain-containing protein YafZ,945373
ykfA,putative GTP-binding protein YkfA,949004
perR,putative transcriptional regulator PerR,945417
insN,CP4-6 prophage; IS911A regulator fragment,5061501
insI1,IS30 transposase,949005
ykfC,PF00078 domain-containing protein YkfC,944940
insH1,IS5 transposase and trans-activator,944941
mmuP,S-methyl-L-methionine transporter,946284
mmuM,homocysteine S-methyltransferase,946143
afuC,ABC transporter ATP-binding protein AfuC,947676
insB2,IS1 protein InsB,947698
insA2,IS1 protein InsA,944946
yagB,orphan antitoxin YagB,944944
yagA,integrase core domain-containing protein YagA,944937
yagE,2-dehydro-3-deoxygluconate aldolase,944925
yagF,D-xylonate dehydratase,944928
yagG,putative D-xylonate transporter YagG,944947
yagH,putative xylosidase/arabinosidase,944949
xynR,DNA-binding transcriptional repressor XynR,945016
argF,ornithine carbamoyltransferase ArgF,944844
argL,putative translational regulatory protein ArgL,63925624
ykgS,protein YkgS,7751632
insB3,IS1 protein InsB,944950
insA3,IS1 protein InsA,944951
yagJ,protein YagJ,949094
yagK,uncharacterized protein YagK,945847
yagL,resolvase-like catalytic domain-containing protein YagL,945845
yagM,protein YagM,944959
ykgV,protein YkgV,38094939
yagN,protein YagN,945349
intF,putative phage integrase,947351
yagP,putative LysR family substrate binding domain-containing protein YagP,947411
paoD,molybdenum cofactor insertion chaperone PaoD,945010
paoC,aldehyde dehydrogenase, molybdenum cofactor-binding subunit,944961
paoB,aldehyde dehydrogenase, FAD-binding Fe-S subunit,945710
paoA,aldehyde dehydrogenase, Fe-S subunit,945330
yagU,DUF1440 domain-containing inner membrane protein YagU,945677
ykgJ,putative metal-chelating domain-containing protein YkgJ,945905
ecpE,putative fimbrial chaperone EcpE,946631
ecpD,fimbrial adhesin EcpD,947349
ecpC,putative fimbrial usher protein EcpC,947606
ecpB,putative fimbrial chaperone EcpB,948806
ecpA,common pilus major subunit,948759
matA,DNA-binding transcriptional dual regulator MatA,944966
ykgL,uncharacterized protein YkgL,944962
ykgO,50S ribosomal subunit protein L36B,1450238
ykgM,50S ribosomal subunit protein L31B,944960
ykgR,putative membrane protein YkgR,7751635
insE1,IS3 element protein InsE,944952
insF1,IS3 element protein InsF,944948
rclC,DUF417 domain-containing inner membrane protein RclC,944974
rclB,hypochlorite stress response protein RclB,945658
rclA,cupric reductase RclA,946092
rclR,DNA-binding transcriptional activator RclR,945616
ykgE,putative lactate utilization oxidoreductase YkgE,948438
ykgF,putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain,944980
ykgG,DUF162 domain-containing lactate utilization protein YkgG,945906
ykgH,uncharacterized protein YkgH,947513
betA,choline dehydrogenase,945716
betB,betaine aldehyde dehydrogenase,947376
betI,DNA-binding transcriptional repressor BetI,944981
betT,choline:H(+) symporter,945079
yahV,protein YahV,38094940
pdeL,DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL,947459
yahB,putative LysR-type DNA-binding transcriptional regulator YahB,945278
yahC,uncharacterized protein YahC,947337
yahD,ankyrin repeat-containing protein YahD,947681
yahE,DUF2877 domain-containing protein YahE,947134
yahF,putative acyl-CoA synthetase YahF,947298
yahG,DUF1116 domain-containing protein YahG,945379
yahH,putative uncharacterized protein YahH,945035
yahI,carbamate kinase-like protein YahI,944984
yahJ,amidohydrolase family protein YahJ,944976
yahK,aldehyde reductase, NADPH-dependent,944975
yahL,uncharacterized protein YahL,944970
xtpA,putative transcriptional regulator XtpA,302211664
yahM,uncharacterized protein YahM,944969
yahN,putative amino acid exporter YahN,944968
yahO,DUF1471 domain-containing protein YahO,944985
prpR,DNA-binding transcriptional dual regulator PrpR,944987
prpB,2-methylisocitrate lyase,944990
prpC,2-methylcitrate synthase,947528
prpD,2-methylcitrate dehydratase,945931
prpE,propionyl-CoA synthetase,946891
codB,cytosine transporter,944994
codA,cytosine/isoguanine deaminase,944996
cynR,DNA-binding transcriptional dual regulator CynR,945001
cynT,carbonic anhydrase 1,946548
cynS,cyanase,948998
cynX,cyanate transporter,946770
lacA,galactoside O-acetyltransferase,945674
lacY,lactose permease,949083
lacZ,beta-galactosidase,945006
lacI,DNA-binding transcriptional repressor LacI,945007
mhpR,DNA-binding transcriptional activator MhpR,945938
mhpA,3-(3-hydroxyphenyl)propanoate hydroxylase,945197
mhpB,3-carboxyethylcatechol 2,3-dioxygenase,945047
mhpC,2-hydroxy-6-ketonona-2,4-dienedioate hydrolase,944954
mhpD,2-hydroxypentadienoate hydratase,944768
mhpF,acetaldehyde dehydrogenase (acetylating) MhpF,945008
mhpE,4-hydroxy-2-oxovalerate aldolase,945012
mhpT,3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter,944997
yaiL,DUF2058 domain-containing protein YaiL,944993
frmB,S-formylglutathione hydrolase FrmB,944991
frmA,S-(hydroxymethyl)glutathione dehydrogenase,944988
frmR,DNA-binding transcriptional repressor FrmR,944986
yaiO,outer membrane protein YaiO,945014
yaiX,putative acyltransferase, N-terminal fragment,4056039
insC1,IS2 element protein InsA,945025
insD1,IS2 element protein,945203
yaiP,putative glucosyltransferase,945308
ykiC,protein YkiC,38094941
yaiS,putative deacetylase YaiS,946967
tauA,taurine ABC transporter periplasmic binding protein,945030
tauB,taurine ABC transporter ATP binding subunit,945027
tauC,taurine ABC transporter membrane subunit,945026
tauD,taurine dioxygenase,945021
hemB,porphobilinogen synthase,945017
yaiT,putative autotransporter YaiT,4056040
ytiB,protein YtiB,63925625
insF2,IS3 element protein InsF,945036
insE2,IS3 element protein InsE,946900
iprA,putative DNA-binding transcriptional regulator IprA,946902
ampH,peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase,946904
sbmA,peptide antibiotic/peptide nucleic acid transporter,946884
yaiW,surface-exposed outer membrane lipoprotein,945038
yaiY,DUF2755 domain-containing inner membrane protein YaiY,945223
yaiZ,DUF2754 domain-containing protein YaiZ,947355
ddlA,D-alanine--D-alanine ligase A,945313
iraP,anti-adaptor protein IraP,947709
phoA,alkaline phosphatase,945041
psiF,phosphate starvation-inducible protein PsiF,945040
dgcC,diguanylate cyclase DgcC,945037
proC,pyrroline-5-carboxylate reductase,945034
yaiI,DUF188 domain-containing protein YaiI,945033
aroL,shikimate kinase 2,945031
yaiA,protein YaiA,945043
aroM,protein AroM,945045
ppnP,nucleoside phosphorylase PpnP,945048
ykiD,protein YkiD,38094942
rdgC,nucleoid-associated protein RdgC,948585
mak,fructokinase,949086
araJ,putative transport protein AraJ,949077
sbcC,ATP-dependent structure-specific DNA nuclease - SbcC subunit,949076
sbcD,ATP-dependent structure-specific DNA nuclease - SbcD subunit,945049
phoB,DNA-binding transcriptional dual regulator PhoB,945046
phoR,sensor histidine kinase PhoR,945044
brnQ,branched chain amino acid transporter BrnQ,945042
proY,putative transporter ProY,945050
malZ,maltodextrin glucosidase,949131
acpH,acyl carrier protein phosphodiesterase,949132
queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase,944905
tgt,tRNA-guanine transglycosylase,949130
yajC,Sec translocon accessory complex subunit YajC,945374
secD,Sec translocon accessory complex subunit SecD,949133
secF,Sec translocon accessory complex subunit SecF,949120
yajD,HNH nuclease family protein YajD,945051
tsx,nucleoside-specific channel-forming protein Tsx,946242
yajI,putative lipoprotein YajI,947233
nrdR,NrdR transcriptional repressor,947437
ribD,fused diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,945620
ribE,6,7-dimethyl-8-ribityllumazine synthase,946453
nusB,transcription antitermination protein NusB,945054
thiL,thiamine monophosphate kinase,947387
pgpA,phosphatidylglycerophosphatase A,947542
yajO,1-deoxyxylulose-5-phosphate synthase YajO,946903
dxs,1-deoxy-D-xylulose-5-phosphate synthase,945060
ispA,geranyl diphosphate/farnesyl diphosphate synthase,945064
xseB,exodeoxyribonuclease VII subunit XseB,945069
thiI,tRNA uridine 4-sulfurtransferase,945067
yajL,protein/nucleic acid deglycase 3,945066
panE,2-dehydropantoate 2-reductase,945065
yajQ,nucleotide binding protein YajQ,945063
yajR,putative transport protein YajR,945058
cyoE,heme O synthase,945073
cyoD,cytochrome bo3 subunit 4,944918
cyoC,cytochrome bo3 subunit 3,946897
cyoB,cytochrome bo3 subunit 1,945615
cyoA,cytochrome bo3 subunit 2,945080
ampG,muropeptide:H(+) symporter,946438
yajG,putative lipoprotein YajG,945521
bolA,DNA-binding transcriptional dual regulator BolA,947043
tig,trigger factor,945081
clpP,ATP-dependent Clp protease proteolytic subunit,945082
clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,945083
lon,Lon protease,945085
hupB,DNA-binding protein HU-beta,949095
ppiD,periplasmic folding chaperone,946056
ybaV,helix-hairpin-helix 3 family protein,945884
fadM,long-chain acyl-CoA thioesterase FadM,945812
queC,7-cyano-7-deazaguanine synthase,947034
ybaE,uncharacterized protein YbaE,949093
cof,HMP-PP phosphatase,945089
decR,DNA-binding transcriptional activator DecR,945091
mdlA,ABC transporter family protein MdlA,945092
mdlB,ABC transporter family protein MdlB,945088
glnK,nitrogen regulatory protein PII-2,945087
amtB,ammonium transporter,945084
tesB,acyl-CoA thioesterase II,945074
ybaY,PF09619 family lipoprotein YbaY,945070
ybaZ,DNA base-flipping protein,945094
ybaA,DUF1428 domain-containing protein YbaA,948863
pdeB,cyclic di-GMP phosphodiesterase PdeB,948951
ylaC,putative inner membrane protein,948876
maa,maltose O-acetyltransferase,945096
hha,hemolysin expression-modulating protein Hha,945098
tomB,Hha toxicity modulator TomB,945106
acrB,multidrug efflux pump RND permease AcrB,945108
acrA,multidrug efflux pump membrane fusion lipoprotein AcrA,945112
acrR,DNA-binding transcriptional repressor AcrR,945516
mscK,potassium dependent, small conductance mechanosensitive channel,945132
ybaM,DUF2496 domain-containing protein YbaM,945144
priC,primosomal replication protein N'',945071
ybaN,DUF454 domain-containing inner membrane protein YbaN,945558
apt,adenine phosphoribosyltransferase,945113
dnaX,DNA polymerase III subunit tau,945105
dnaX,DNA polymerase III subunit gamma,945105
ybaB,putative nucleoid-associated protein YbaB,945104
recR,recombination mediator protein RecR,945100
htpG,chaperone protein HtpG,945099
adk,adenylate kinase,945097
hemH,ferrochelatase,947532
aes,acetylesterase,947514
gsk,inosine/guanosine kinase,946584
ybaL,putative transporter YbaL,946576
fsr,fosmidomycin efflux pump,945119
ushA,5'-nucleotidase/UDP-sugar hydrolase,947331
ybaK,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK,947083
ybaP,TraB family protein YbaP,945124
ybaQ,DNA-binding transcriptional regulator YbaQ,948800
copA,Cu(+) exporting P-type ATPase,946106
copA,soluble Cu(+) chaperone,946106
glsA,glutaminase 1,946187
ybaT,putative transporter YbaT,945363
cueR,DNA-binding transcriptional dual regulator CueR,945332
ybbJ,NfeD-like family protein YbbJ,945126
qmcA,PHB domain-containing protein QmcA,947257
fetA,putative iron ABC exporter ATP-binding subunit FetA,946990
fetB,putative iron ABC exporter membrane subunit FetB,945137
cnoX,chaperedoxin,947119
ybbO,NADP(+)-dependent aldehyde reductase YbbO,945337
tesA,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,945127
ybbA,putative ABC transporter ATP-binding protein YbbA,945122
ybbP,putative ABC transporter membrane subunit YbbP,945118
rhsD,protein RhsD,945116
ybbC,PF15631 family protein YbbC,945115
ylbG,putative DNA-binding transcriptional regulator YlbG,946803
selU,tRNA 2-selenouridine synthase,947063
allS,DNA-binding transcriptional activator AllS,945139
allA,ureidoglycolate lyase,945141
allR,DNA-binding transcriptional repressor AllR,945333
gcl,glyoxylate carboligase,945394
hyi,hydroxypyruvate isomerase,946186
glxR,tartronate semialdehyde reductase 2,945146
allW,allantoin transporter,945138
allB,allantoinase,945134
ybbY,putative purine transporter,945131
glxK,glycerate 2-kinase 2,945129
allE,(S)-ureidoglycine aminohydrolase,945149
allC,allantoate amidohydrolase,945150
allD,ureidoglycolate dehydrogenase,948342
fdrA,putative oxamate carbamoyltransferase FdrA,946298
ylbE,DUF1116 domain-containing protein YlbE,4056025
ylbF,DUF2877 domain-containing protein YlbF,945195
ybcF,putative carbamate kinase,944972
purK,5-(carboxyamino)imidazole ribonucleotide synthase,945153
purE,N(5)-carboxyaminoimidazole ribonucleotide mutase,949031
lpxH,UDP-2,3-diacylglucosamine diphosphatase,949053
ppiB,peptidyl-prolyl cis-trans isomerase B,949038
cysS,cysteine--tRNA ligase,946969
ybcI,PF04307 family inner membrane protein YbcI,945155
ybcJ,putative RNA-binding protein YbcJ,945158
folD,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,945221
sfmA,putative fimbrial protein SfmA,945522
sfmC,putative fimbrial chaperone SfmC,945367
sfmD,putative fimbrial usher protein SfmD,945160
sfmH,putative fimbrial adhesin protein SfmH,945407
sfmF,putative fimbrial protein SfmF,944977
fimZ,LuxR family transcriptional regulator FimZ,947079
intD,putative integrase,947162
renD,DLP12 prophage; protein RenD,945024
insE3,IS3 element protein InsE,945759
insF3,IS3 element protein InsF,947988
emrE,multidrug/betaine/choline efflux transporter EmrE,948442
ylcJ,protein YlcJ,38094943
ybcK,putative recombinase YbcK,945166
ybcL,periplasmic protein YbcL,945165
ybcM,putative DNA-binding transcriptional regulator,945163
ylcH,uncharacterized protein YlcH,5061504
ybcN,DNA base-flipping protein,945162
ninE,NinE family prophage protein,945151
ybcO,putative nuclease YbcO,945147
rusA,crossover junction endodeoxyribonuclease RusA,945174
ylcG,uncharacterized protein YlcG,1450240
quuD,prophage antitermination protein Q homolog QuuD,945177
nmpC,DLP12 prophage; putative outer membrane porin NmpC,946786
insH2,IS5 transposase and trans-activator,946163
essD,putative phage lysis protein,947545
rrrD,lysozyme,947539
rzpD,putative prophage endopeptidase RzpD,945929
rzoD,putative prophage lysis lipoprotein RzoD,1450242
borD,prophage lipoprotein BorD,948980
ybcV,DUF1398 domain-containing protein YbcV,945178
ybcW,uncharacterized protein YbcW,945175
ylcI,DUF3950 domain-containing protein YlcI,5061499
nohD,putative DNA-packaging protein NohD,945172
tfaD,putative tail fiber assembly protein TfaD,945171
tfaX,protein TfaX,945183
appY,DNA-binding transcriptional activator AppY,948797
ompT,omptin family outer membrane protease OmpT,945185
envY,DNA-binding transcriptional activator EnvY,949114
ybcH,putative exopolysaccharide secretion system auxiliary component,945186
nfrA,exopolysaccharide secretion system outer membrane protein NfrA,944741
nfrB,cyclic di-3',5'-guanylate-activated glycosyltransferase,945849
cusS,sensor histidine kinase CusS,945978
cusR,DNA-binding transcriptional activator CusR,945003
cusC,copper/silver export system outer membrane channel,946288
cusF,copper/silver export system periplasmic binding protein,945188
cusB,copper/silver export system membrane fusion protein,945189
cusA,copper/silver export system RND permease,945191
pheP,phenylalanine:H(+) symporter PheP,945199
ybdG,miniconductance mechanosensitive channel YbdG,946243
nfsB,NAD(P)H-dependent nitroreductase NfsB,945778
ybdF,PF04237 family protein YbdF,948302
ybdJ,DUF1158 domain-containing protein YbdJ,947183
ybdK,putative glutamate--cysteine ligase 2,947246
hokE,small toxic polypeptide HokE,2847715
insL2,IS186/IS421 transposase,945200
entD,phosphopantetheinyl transferase EntD,945194
fepA,ferric enterobactin outer membrane transporter,945193
fes,ferric enterobactin esterase,945181
ybdZ,enterobactin biosynthesis protein YbdZ,1450243
entF,apo-serine activating enzyme,945184
fepE,polysaccharide co-polymerase family protein FepE,945180
fepC,ferric enterobactin ABC transporter ATP binding subunit,945201
fepG,ferric enterobactin ABC transporter membrane subunit FepG,945209
fepD,ferric enterobactin ABC transporter membrane subunit FebD,945214
entS,enterobactin exporter EntS,946268
